MeasureItem,Month,Year,Category,Area,MeasureItemID,CreationDate,Representativity,ProvidedValue,ProvidedValueCode
Monthly Domestic Values,9,2024,Geothermal,AT,B09,2024-12-06 14:45:58,100,0.0504,
Monthly Domestic Values,1,2024,Hydro Pumped Storage,AT,B10,2024-12-06 14:45:58,100,510.4165,
Monthly Domestic Values,2,2024,Hydro Pumped Storage,AT,B10,2024-12-06 14:45:58,100,388.2153,
Monthly Domestic Values,3,2024,Hydro Pumped Storage,AT,B10,2024-12-06 14:45:58,100,424.068,
Monthly Domestic Values,4,2024,Hydro Pumped Storage,AT,B10,2024-12-06 14:45:58,100,377.0904,
Monthly Domestic Values,5,2024,Hydro Pumped Storage,AT,B10,2024-12-06 14:45:58,100,404.2146,
Monthly Domestic Values,6,2024,Hydro Pumped Storage,AT,B10,2024-12-06 14:45:58,100,450.3837,
Monthly Domestic Values,7,2024,Hydro Pumped Storage,AT,B10,2024-12-06 14:45:58,100,526.4795,
Monthly Domestic Values,8,2024,Hydro Pumped Storage,AT,B10,2024-12-06 14:45:58,100,434.4876,
Monthly Domestic Values,9,2024,Hydro Pumped Storage,AT,B10,2024-12-06 14:45:58,100,388.7288,
Monthly Domestic Values,1,2024,Hydro Run-of-river and poundage,AT,B11,2024-12-06 14:45:58,100,2708.7646,
Monthly Domestic Values,2,2024,Hydro Run-of-river and poundage,AT,B11,2024-12-06 14:45:58,100,2464.0145,
Monthly Domestic Values,3,2024,Hydro Run-of-river and poundage,AT,B11,2024-12-06 14:45:58,100,2273.2998,
Monthly Domestic Values,4,2024,Hydro Run-of-river and poundage,AT,B11,2024-12-06 14:45:58,100,2880.8745,
Monthly Domestic Values,5,2024,Hydro Run-of-river and poundage,AT,B11,2024-12-06 14:45:58,100,3360.4057,
Monthly Domestic Values,6,2024,Hydro Run-of-river and poundage,AT,B11,2024-12-06 14:45:58,100,3339.2968,
Monthly Domestic Values,7,2024,Hydro Run-of-river and poundage,AT,B11,2024-12-06 14:45:58,100,3148.2637,
Monthly Domestic Values,8,2024,Hydro Run-of-river and poundage,AT,B11,2024-12-06 14:45:58,100,2370.9943,
Monthly Domestic Values,9,2024,Hydro Run-of-river and poundage,AT,B11,2024-12-06 14:45:58,100,2675.1211,
Monthly Domestic Values,1,2024,Hydro Water Reservoir,AT,B12,2024-12-06 14:45:58,100,437.775,
Monthly Domestic Values,2,2024,Hydro Water Reservoir,AT,B12,2024-12-06 14:45:58,100,282.0415,
Monthly Domestic Values,3,2024,Hydro Water Reservoir,AT,B12,2024-12-06 14:45:58,100,262.3806,
Monthly Domestic Values,4,2024,Hydro Water Reservoir,AT,B12,2024-12-06 14:45:58,100,310.5908,
Monthly Domestic Values,5,2024,Hydro Water Reservoir,AT,B12,2024-12-06 14:45:58,100,442.744,
Monthly Domestic Values,6,2024,Hydro Water Reservoir,AT,B12,2024-12-06 14:45:58,100,550.4111,
Monthly Domestic Values,7,2024,Hydro Water Reservoir,AT,B12,2024-12-06 14:45:58,100,564.2835,
Monthly Domestic Values,8,2024,Hydro Water Reservoir,AT,B12,2024-12-06 14:45:58,100,457.8895,
Monthly Domestic Values,9,2024,Hydro Water Reservoir,AT,B12,2024-12-06 14:45:58,100,390.7229,
Monthly Domestic Values,1,2024,Other,AT,B20,2024-12-06 14:45:58,100,16.368,
Monthly Domestic Values,2,2024,Other,AT,B20,2024-12-06 14:45:58,100,15.312,
Monthly Domestic Values,3,2024,Other,AT,B20,2024-12-06 14:45:58,100,16.368,
Monthly Domestic Values,4,2024,Other,AT,B20,2024-12-06 14:45:58,100,15.84,
Monthly Domestic Values,5,2024,Other,AT,B20,2024-12-06 14:45:58,100,16.368,
Monthly Domestic Values,6,2024,Other,AT,B20,2024-12-06 14:45:58,100,15.84,
Monthly Domestic Values,7,2024,Other,AT,B20,2024-12-06 14:45:58,100,16.368,
Monthly Domestic Values,8,2024,Other,AT,B20,2024-12-06 14:45:58,100,16.368,
Monthly Domestic Values,9,2024,Other,AT,B20,2024-12-06 14:45:58,100,15.84,
Monthly Domestic Values,1,2024,Other renewable,AT,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,2,2024,Other renewable,AT,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,3,2024,Other renewable,AT,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,4,2024,Other renewable,AT,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,5,2024,Other renewable,AT,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,6,2024,Other renewable,AT,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,7,2024,Other renewable,AT,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,8,2024,Other renewable,AT,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,9,2024,Other renewable,AT,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,1,2024,Solar,AT,B16,2024-12-06 14:45:58,100,118.873,
Monthly Domestic Values,2,2024,Solar,AT,B16,2024-12-06 14:45:58,100,194.076,
Monthly Domestic Values,3,2024,Solar,AT,B16,2024-12-06 14:45:58,100,417.686,
Monthly Domestic Values,4,2024,Solar,AT,B16,2024-12-06 14:45:58,100,652.609,
Monthly Domestic Values,5,2024,Solar,AT,B16,2024-12-06 14:45:58,100,820.751,
Monthly Domestic Values,6,2024,Solar,AT,B16,2024-12-06 14:45:58,100,826.091,
Monthly Domestic Values,7,2024,Solar,AT,B16,2024-12-06 14:45:58,100,855.799,
Monthly Domestic Values,8,2024,Solar,AT,B16,2024-12-06 14:45:58,100,804.868,
Monthly Domestic Values,9,2024,Solar,AT,B16,2024-12-06 14:45:58,100,491.227,
Monthly Domestic Values,1,2024,Waste,AT,B17,2024-12-06 14:45:58,100,74.4,
Monthly Domestic Values,2,2024,Waste,AT,B17,2024-12-06 14:45:58,100,69.6,
Monthly Domestic Values,3,2024,Waste,AT,B17,2024-12-06 14:45:58,100,74.4,
Monthly Domestic Values,4,2024,Waste,AT,B17,2024-12-06 14:45:58,100,72,
Monthly Domestic Values,5,2024,Waste,AT,B17,2024-12-06 14:45:58,100,74.4,
Monthly Domestic Values,6,2024,Waste,AT,B17,2024-12-06 14:45:58,100,72,
Monthly Domestic Values,7,2024,Waste,AT,B17,2024-12-06 14:45:58,100,74.4,
Monthly Domestic Values,8,2024,Waste,AT,B17,2024-12-06 14:45:58,100,74.4,
Monthly Domestic Values,9,2024,Waste,AT,B17,2024-12-06 14:45:58,100,72,
Monthly Domestic Values,1,2024,Wind Onshore,AT,B19,2024-12-06 14:45:58,100,1154.656,
Monthly Domestic Values,2,2024,Wind Onshore,AT,B19,2024-12-06 14:45:58,100,998.426,
Monthly Domestic Values,3,2024,Wind Onshore,AT,B19,2024-12-06 14:45:58,100,1075.903,
Monthly Domestic Values,4,2024,Wind Onshore,AT,B19,2024-12-06 14:45:58,100,925.964,
Monthly Domestic Values,5,2024,Wind Onshore,AT,B19,2024-12-06 14:45:58,100,574.624,
Monthly Domestic Values,6,2024,Wind Onshore,AT,B19,2024-12-06 14:45:58,100,447.465,
Monthly Domestic Values,7,2024,Wind Onshore,AT,B19,2024-12-06 14:45:58,100,520.883,
Monthly Domestic Values,8,2024,Wind Onshore,AT,B19,2024-12-06 14:45:58,100,417.071,
Monthly Domestic Values,9,2024,Wind Onshore,AT,B19,2024-12-06 14:45:58,100,804.441,
Monthly Domestic Values,1,2024,Fossil Brown coal/Lignite,BA,B02,2024-12-06 14:45:58,100,819.82971,
Monthly Domestic Values,2,2024,Fossil Brown coal/Lignite,BA,B02,2024-12-06 14:45:58,100,698.05861,
Monthly Domestic Values,3,2024,Fossil Brown coal/Lignite,BA,B02,2024-12-06 14:45:58,100,602.76144,
Monthly Domestic Values,4,2024,Fossil Brown coal/Lignite,BA,B02,2024-12-06 14:45:58,100,545.78943,
Monthly Domestic Values,5,2024,Fossil Brown coal/Lignite,BA,B02,2024-12-06 14:45:58,100,524.24339,
Monthly Domestic Values,7,2024,Fossil Brown coal/Lignite,BA,B02,2024-12-06 14:45:58,100,574.67725,
Monthly Domestic Values,8,2024,Fossil Brown coal/Lignite,BA,B02,2024-12-06 14:45:58,100,607.62383,
Monthly Domestic Values,9,2024,Fossil Brown coal/Lignite,BA,B02,2024-12-06 14:45:58,100,635.95158,
Monthly Domestic Values,1,2024,Hydro Pumped Storage,BA,B10,2024-12-06 14:45:58,100,5.02046,
Monthly Domestic Values,2,2024,Hydro Pumped Storage,BA,B10,2024-12-06 14:45:58,100,16.48293,
Monthly Domestic Values,3,2024,Hydro Pumped Storage,BA,B10,2024-12-06 14:45:58,100,10.18247,
Monthly Domestic Values,4,2024,Hydro Pumped Storage,BA,B10,2024-12-06 14:45:58,100,4.57689,
Monthly Domestic Values,5,2024,Hydro Pumped Storage,BA,B10,2024-12-06 14:45:58,100,5.20574,
Monthly Domestic Values,7,2024,Hydro Pumped Storage,BA,B10,2024-12-06 14:45:58,100,35.80111,
Monthly Domestic Values,8,2024,Hydro Pumped Storage,BA,B10,2024-12-06 14:45:58,100,4.28083,
Monthly Domestic Values,9,2024,Hydro Pumped Storage,BA,B10,2024-12-06 14:45:58,100,11.75758,
Monthly Domestic Values,1,2024,Hydro Run-of-river and poundage,BA,B11,2024-12-06 14:45:58,100,66.81724,
Monthly Domestic Values,2,2024,Hydro Run-of-river and poundage,BA,B11,2024-12-06 14:45:58,100,62.87183,
Monthly Domestic Values,3,2024,Hydro Run-of-river and poundage,BA,B11,2024-12-06 14:45:58,100,75.07648,
Monthly Domestic Values,4,2024,Hydro Run-of-river and poundage,BA,B11,2024-12-06 14:45:58,100,50.08005,
Monthly Domestic Values,5,2024,Hydro Run-of-river and poundage,BA,B11,2024-12-06 14:45:58,100,27.90842,
Monthly Domestic Values,7,2024,Hydro Run-of-river and poundage,BA,B11,2024-12-06 14:45:58,100,17.36,
Monthly Domestic Values,8,2024,Hydro Run-of-river and poundage,BA,B11,2024-12-06 14:45:58,100,15.17222,
Monthly Domestic Values,9,2024,Hydro Run-of-river and poundage,BA,B11,2024-12-06 14:45:58,100,22.39862,
Monthly Domestic Values,1,2024,Hydro Water Reservoir,BA,B12,2024-12-06 14:45:58,100,444.45909,
Monthly Domestic Values,2,2024,Hydro Water Reservoir,BA,B12,2024-12-06 14:45:58,100,378.62819,
Monthly Domestic Values,3,2024,Hydro Water Reservoir,BA,B12,2024-12-06 14:45:58,100,452.01516,
Monthly Domestic Values,4,2024,Hydro Water Reservoir,BA,B12,2024-12-06 14:45:58,100,248.54596,
